"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DiagnosticLaboratoryResults","DiagnosticLaboratoryResults","","","",0,*,"","","","null {[]} {[]}
","Diagnostic laboratory results","Captures diagnostic test results along with sample information to determine TB infection status.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DiagnosticLaboratoryResults.finalResultEthambutolEmb","DiagnosticLaboratoryResults.finalResultEthambutolEmb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - SL-LPA - Emb","TB-LAB - SL-LPA - Emb","","","","","","","","","",,"required","","http://example.org/ValueSet/SusceptibleResistantIndeterminateVS","",,,,"DiagnosticLaboratoryResults.finalResultEthambutolEmb",0,1,"",""
"DiagnosticLaboratoryResults.finalResultFluoroquinolonesFq","DiagnosticLaboratoryResults.finalResultFluoroquinolonesFq","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - SL-LPA - Fq","TB-LAB - SL-LPA - Fq","","","","","","","","","",,"required","","http://example.org/ValueSet/SusceptibleResistantIndeterminateVS","",,,,"DiagnosticLaboratoryResults.finalResultFluoroquinolonesFq",0,1,"",""
"DiagnosticLaboratoryResults.finalResultKanamycinKan","DiagnosticLaboratoryResults.finalResultKanamycinKan","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - SL-LPA - Kan","TB-LAB - SL-LPA - Kan","","","","","","","","","",,"required","","http://example.org/ValueSet/SusceptibleResistantIndeterminateVS","",,,,"DiagnosticLaboratoryResults.finalResultKanamycinKan",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentIsoniazidCriticalConcentrationInhCc","DiagnosticLaboratoryResults.liquidSubsequentIsoniazidCriticalConcentrationInhCc","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Inh (CC)","TB-LAB - Subsequent DST (liquid media) - Inh (CC)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentIsoniazidCriticalConcentrationInhCc",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentIsoniazidClinicalBreakpointInhCb","DiagnosticLaboratoryResults.liquidSubsequentIsoniazidClinicalBreakpointInhCb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Inh (CB)","TB-LAB - Subsequent DST (liquid media) - Inh (CB)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentIsoniazidClinicalBreakpointInhCb",0,1,"",""
"DiagnosticLaboratoryResults.slLpaMtb","DiagnosticLaboratoryResults.slLpaMtb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - SL-LPA - MTB","TB-LAB - SL-LPA - MTB","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABMTBTestResultVS","",,,,"DiagnosticLaboratoryResults.slLpaMtb",0,1,"",""
"DiagnosticLaboratoryResults.slLpaSpecimenNumber","DiagnosticLaboratoryResults.slLpaSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - SL-LPA specimen number","TB-LAB - SL-LPA specimen number","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.slLpaSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.flLpa","DiagnosticLaboratoryResults.flLpa","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - FL-LPA","TB-LAB - FL-LPA","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.flLpa",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentLevofloxacinLfx","DiagnosticLaboratoryResults.liquidSubsequentLevofloxacinLfx","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Lfx","TB-LAB - Subsequent DST (liquid media) - Lfx","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentLevofloxacinLfx",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentLinezolidLzd","DiagnosticLaboratoryResults.liquidSubsequentLinezolidLzd","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Lzd","TB-LAB - Subsequent DST (liquid media) - Lzd","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentLinezolidLzd",0,1,"",""
"DiagnosticLaboratoryResults.finalResultIsoniazidInh","DiagnosticLaboratoryResults.finalResultIsoniazidInh","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - FL-LPA - Inh","TB-LAB - FL-LPA - Inh","","","","","","","","","",,"required","","http://example.org/ValueSet/SusceptibleResistantIndeterminateVS","",,,,"DiagnosticLaboratoryResults.finalResultIsoniazidInh",0,1,"",""
"DiagnosticLaboratoryResults.flLpaMtb","DiagnosticLaboratoryResults.flLpaMtb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - FL-LPA - MTB","TB-LAB - FL-LPA - MTB","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABMTBTestResultVS","",,,,"DiagnosticLaboratoryResults.flLpaMtb",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentMoxifloxacinClinicalBreakpointMfxCb","DiagnosticLaboratoryResults.liquidSubsequentMoxifloxacinClinicalBreakpointMfxCb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Mfx (CB)","TB-LAB - Subsequent DST (liquid media) - Mfx (CB)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentMoxifloxacinClinicalBreakpointMfxCb",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentMoxifloxacinCriticalConcentrationMfxCc","DiagnosticLaboratoryResults.liquidSubsequentMoxifloxacinCriticalConcentrationMfxCc","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Mfx (CC)","TB-LAB - Subsequent DST (liquid media) - Mfx (CC)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentMoxifloxacinCriticalConcentrationMfxCc",0,1,"",""
"DiagnosticLaboratoryResults.dateOfSampleReception","DiagnosticLaboratoryResults.dateOfSampleReception","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date of sample reception","TB-LAB - Date of sample reception","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfSampleReception",0,1,"",""
"DiagnosticLaboratoryResults.dateRifResistanceFirstDetected","DiagnosticLaboratoryResults.dateRifResistanceFirstDetected","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date Rif-resistance first detected","TB-LAB - Date Rif-resistance first detected","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateRifResistanceFirstDetected",0,1,"",""
"DiagnosticLaboratoryResults.finalResultRifampicinRif","DiagnosticLaboratoryResults.finalResultRifampicinRif","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - FL-LPA - Rif","TB-LAB - FL-LPA - Rif","","","","","","","","","",,"required","","http://example.org/ValueSet/SusceptibleResistantIndeterminateVS","",,,,"DiagnosticLaboratoryResults.finalResultRifampicinRif",0,1,"",""
"DiagnosticLaboratoryResults.flLpaSpecimenNumber","DiagnosticLaboratoryResults.flLpaSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - FL-LPA specimen number","TB-LAB - FL-LPA specimen number","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.flLpaSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.microscopyResult","DiagnosticLaboratoryResults.microscopyResult","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Microscopy result","TB-LAB - Microscopy result","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABSmearResultVS","",,,,"DiagnosticLaboratoryResults.microscopyResult",0,1,"",""
"DiagnosticLaboratoryResults.dateOfCultureInoculationLiquidMedia","DiagnosticLaboratoryResults.dateOfCultureInoculationLiquidMedia","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date of culture inoculation (liquid media)","TB-LAB - Date of culture inoculation (liquid media)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfCultureInoculationLiquidMedia",0,1,"",""
"DiagnosticLaboratoryResults.slLpaSpecimenType","DiagnosticLaboratoryResults.slLpaSpecimenType","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - SL-LPA specimen type","TB-LAB - SL-LPA specimen type","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABLPASpecimenVS","",,,,"DiagnosticLaboratoryResults.slLpaSpecimenType",0,1,"",""
"DiagnosticLaboratoryResults.dateOfCultureInoculationSolidMedia","DiagnosticLaboratoryResults.dateOfCultureInoculationSolidMedia","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date of culture inoculation (solid media)","TB-LAB - Date of culture inoculation (solid media)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfCultureInoculationSolidMedia",0,1,"",""
"DiagnosticLaboratoryResults.sampleQuality","DiagnosticLaboratoryResults.sampleQuality","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Sample quality","TB-LAB - Sample quality","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABSampleQualityVS","",,,,"DiagnosticLaboratoryResults.sampleQuality",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentRifampicinRif","DiagnosticLaboratoryResults.liquidSubsequentRifampicinRif","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Rif","TB-LAB - Subsequent DST (liquid media) - Rif","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentRifampicinRif",0,1,"",""
"DiagnosticLaboratoryResults.sampleId","DiagnosticLaboratoryResults.sampleId","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Sample ID","TB-LAB - Sample ID","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.sampleId",0,1,"",""
"DiagnosticLaboratoryResults.flLpaSpecimenType","DiagnosticLaboratoryResults.flLpaSpecimenType","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - FL-LPA specimen type","TB-LAB - FL-LPA specimen type","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABLPASpecimenVS","",,,,"DiagnosticLaboratoryResults.flLpaSpecimenType",0,1,"",""
"DiagnosticLaboratoryResults.sampleStatus","DiagnosticLaboratoryResults.sampleStatus","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Sample status","TB-LAB - Sample status","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABSampleStatusVS","",,,,"DiagnosticLaboratoryResults.sampleStatus",0,1,"",""
"DiagnosticLaboratoryResults.initialDstLmSpecimenNumber","DiagnosticLaboratoryResults.initialDstLmSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Initial DST specimen number (liquid media)","TB-LAB - Initial DST specimen number (liquid media)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.initialDstLmSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentPyrazinamidePza","DiagnosticLaboratoryResults.liquidSubsequentPyrazinamidePza","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Pza","TB-LAB - Subsequent DST (liquid media) - Pza","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentPyrazinamidePza",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentAmikacinAmk","DiagnosticLaboratoryResults.solidSubsequentAmikacinAmk","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Amk","TB-LAB - Subsequent DST (solid media) - Amk","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentAmikacinAmk",0,1,"",""
"DiagnosticLaboratoryResults.initialDstSmSpecimenNumber","DiagnosticLaboratoryResults.initialDstSmSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Initial DST specimen number (solid media)","TB-LAB - Initial DST specimen number (solid media)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.initialDstSmSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentBedaquilineBdq","DiagnosticLaboratoryResults.solidSubsequentBedaquilineBdq","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Bdq","TB-LAB - Subsequent DST (solid media) - Bdq","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentBedaquilineBdq",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentClofazimineCfz","DiagnosticLaboratoryResults.solidSubsequentClofazimineCfz","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Cfz","TB-LAB - Subsequent DST (solid media) - Cfz","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentClofazimineCfz",0,1,"",""
"DiagnosticLaboratoryResults.subsequentDstLmSpecimenNumber","DiagnosticLaboratoryResults.subsequentDstLmSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Subsequent DST specimen number (liquid media)","TB-LAB - Subsequent DST specimen number (liquid media)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.subsequentDstLmSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.subsequentDstSmSpecimenNumber","DiagnosticLaboratoryResults.subsequentDstSmSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Subsequent DST specimen number (solid media)","TB-LAB - Subsequent DST specimen number (solid media)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.subsequentDstSmSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.tbLamp","DiagnosticLaboratoryResults.tbLamp","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - TB-LAMP","TB-LAB - TB-LAMP","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.tbLamp",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentDelamanidDlm","DiagnosticLaboratoryResults.solidSubsequentDelamanidDlm","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Dlm","TB-LAB - Subsequent DST (solid media) - Dlm","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentDelamanidDlm",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentEthambutolEmb","DiagnosticLaboratoryResults.solidSubsequentEthambutolEmb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Emb","TB-LAB - Subsequent DST (solid media) - Emb","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentEthambutolEmb",0,1,"",""
"DiagnosticLaboratoryResults.dateOfTbLampResult","DiagnosticLaboratoryResults.dateOfTbLampResult","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - TB-LAMP date","TB-LAB - TB-LAMP date","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfTbLampResult",0,1,"",""
"DiagnosticLaboratoryResults.tbLampMtb","DiagnosticLaboratoryResults.tbLampMtb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - TB-LAMP MTB","TB-LAB - TB-LAMP MTB","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABMTBTestResultVS","",,,,"DiagnosticLaboratoryResults.tbLampMtb",0,1,"",""
"DiagnosticLaboratoryResults.tbLampSpecimenNumber","DiagnosticLaboratoryResults.tbLampSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - TB-LAMP specimen number","TB-LAB - TB-LAMP specimen number","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.tbLampSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.lfLam","DiagnosticLaboratoryResults.lfLam","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - LF-LAM","TB-LAB - LF-LAM","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.lfLam",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentIsoniazidCriticalConcentrationInhCc","DiagnosticLaboratoryResults.solidSubsequentIsoniazidCriticalConcentrationInhCc","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Inh (CC)","TB-LAB - Subsequent DST (solid media) - Inh (CC)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentIsoniazidCriticalConcentrationInhCc",0,1,"",""
"DiagnosticLaboratoryResults.dateOfLfLamResult","DiagnosticLaboratoryResults.dateOfLfLamResult","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - LF-LAM date","TB-LAB - LF-LAM date","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfLfLamResult",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentIsoniazidClinicalBreakpointInhCb","DiagnosticLaboratoryResults.solidSubsequentIsoniazidClinicalBreakpointInhCb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Inh (CB)","TB-LAB - Subsequent DST (solid media) - Inh (CB)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentIsoniazidClinicalBreakpointInhCb",0,1,"",""
"DiagnosticLaboratoryResults.lfLamMtb","DiagnosticLaboratoryResults.lfLamMtb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - LF-LAM MTB","TB-LAB - LF-LAM MTB","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABMTBTestResultVS","",,,,"DiagnosticLaboratoryResults.lfLamMtb",0,1,"",""
"DiagnosticLaboratoryResults.lfLamSpecimenNumber","DiagnosticLaboratoryResults.lfLamSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - LF-LAM specimen number","TB-LAB - LF-LAM specimen number","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.lfLamSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentLevofloxacinLfx","DiagnosticLaboratoryResults.solidSubsequentLevofloxacinLfx","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Lfx","TB-LAB - Subsequent DST (solid media) - Lfx","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentLevofloxacinLfx",0,1,"",""
"DiagnosticLaboratoryResults.truenat","DiagnosticLaboratoryResults.truenat","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - Truenat","TB-LAB - Truenat","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.truenat",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentLinezolidLzd","DiagnosticLaboratoryResults.solidSubsequentLinezolidLzd","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Lzd","TB-LAB - Subsequent DST (solid media) - Lzd","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentLinezolidLzd",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentMoxifloxacinClinicalBreakpointMfxCb","DiagnosticLaboratoryResults.solidSubsequentMoxifloxacinClinicalBreakpointMfxCb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Mfx (CB)","TB-LAB - Subsequent DST (solid media) - Mfx (CB)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentMoxifloxacinClinicalBreakpointMfxCb",0,1,"",""
"DiagnosticLaboratoryResults.truenatMtb","DiagnosticLaboratoryResults.truenatMtb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Truenat result - MTB","TB-LAB - Truenat result - MTB","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABMTBTestResultVS","",,,,"DiagnosticLaboratoryResults.truenatMtb",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentMoxifloxacinCriticalConcentrationMfxCc","DiagnosticLaboratoryResults.solidSubsequentMoxifloxacinCriticalConcentrationMfxCc","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Mfx (CC)","TB-LAB - Subsequent DST (solid media) - Mfx (CC)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentMoxifloxacinCriticalConcentrationMfxCc",0,1,"",""
"DiagnosticLaboratoryResults.dateOfTruenatResult","DiagnosticLaboratoryResults.dateOfTruenatResult","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Truenat result date","TB-LAB - Truenat result date","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfTruenatResult",0,1,"",""
"DiagnosticLaboratoryResults.truenatRif","DiagnosticLaboratoryResults.truenatRif","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Truenat result - Rif","TB-LAB - Truenat result - Rif","","","","","","","","","",,"required","","http://example.org/ValueSet/SusceptibleResistantIndeterminateVS","",,,,"DiagnosticLaboratoryResults.truenatRif",0,1,"",""
"DiagnosticLaboratoryResults.truenatSpecimenNumber","DiagnosticLaboratoryResults.truenatSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Truenat specimen number","TB-LAB - Truenat specimen number","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.truenatSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentRifampicinRif","DiagnosticLaboratoryResults.solidSubsequentRifampicinRif","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Rif","TB-LAB - Subsequent DST (solid media) - Rif","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentRifampicinRif",0,1,"",""
"DiagnosticLaboratoryResults.dateOfMicroscopy","DiagnosticLaboratoryResults.dateOfMicroscopy","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date of microscopy","TB-LAB - Date of microscopy","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfMicroscopy",0,1,"",""
"DiagnosticLaboratoryResults.solidSubsequentPyrazinamidePza","DiagnosticLaboratoryResults.solidSubsequentPyrazinamidePza","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (solid media) - Pza","TB-LAB - Subsequent DST (solid media) - Pza","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidSubsequentPyrazinamidePza",0,1,"",""
